local_year_month,Unnamed: 0,V1,station_id,B1,B2,B3,B4,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Curuai_2003_11,538,4607,Curuai_11_2003_PCN29,0.0205612767367361,0.0308213968579248,0.0358420262092974,0.0275760632294054,45,LabISA-INPE,AMZ,Curuai,-2.19564,-55.2281,2003-11-25,18.161,222.877,0.1,,0.073624596
Curuai_2003_11,539,4608,Curuai_11_2003_PCN30,0.0171790722208691,0.0269145419005519,0.0311785534656075,0.0148185990263916,45,LabISA-INPE,AMZ,Curuai,-2.22992,-55.202301,2003-11-24,4.91914,85.815,0.12,,0.1325227
Curuai_2003_11,540,4609,Curuai_11_2003_PCN31,0.0118927331363545,0.0187961968633938,0.0229383666949951,0.0309063205599347,45,LabISA-INPE,AMZ,Curuai,-2.13367,-55.705299,2003-11-26,87.8607,920.25,0.07,,0.23728177
Curuai_2003_11,541,4610,Curuai_11_2003_PCN32,0.0312574585987776,0.0476744254097227,0.0494923429201342,0.0636407546408884,45,LabISA-INPE,AMZ,Curuai,-2.15078,-55.673599,2003-11-26,62.937,781.15,0.07,,0.41261488
Curuai_2003_11,542,4611,Curuai_11_2003_PCN33,0.0216900431792467,0.0320977503807929,0.0378012730809375,0.045136289000584,45,LabISA-INPE,AMZ,Curuai,-2.14214,-55.651199,2003-11-26,46.6841,836.9,0.07,,0.06394049
Curuai_2003_11,543,4612,Curuai_11_2003_PCN34,0.0167417166863097,0.0258864812890249,0.0309826698688698,0.0330003110808535,45,LabISA-INPE,AMZ,Curuai,-2.135,-55.6185,2003-11-26,37.511,435.78,0.07,,0.1077301
Curuai_2003_11,544,4613,Curuai_11_2003_PCN35,0.0315622703329352,0.0517164326421284,0.0647036073867318,0.091313157662286,45,LabISA-INPE,AMZ,Curuai,-2.12194,-55.636501,2003-11-26,39.6322,876.46,0.07,,0.091739535
Curuai_2003_11,545,4614,Curuai_11_2003_PCN36,0.0174942586812436,0.0274176770685438,0.0329028067035374,0.0371855182469035,45,LabISA-INPE,AMZ,Curuai,-2.11442,-55.613998,2003-11-26,49.5682,733.22,0.07,,0.093178526
Curuai_2003_11,546,4615,Curuai_11_2003_PCN37,0.0178090249531913,0.0276481840127387,0.0333226467477349,0.0393156426607865,45,LabISA-INPE,AMZ,Curuai,-2.10794,-55.6488,2003-11-26,44.5444,838.19,0.07,,0.083633505
Curuai_2003_11,547,4616,Curuai_11_2003_PCN38,0.0183444388010555,0.0276522433173935,0.0330907749504145,0.0368429468687963,45,LabISA-INPE,AMZ,Curuai,-2.08844,-55.670101,2003-11-26,26.1238,585.92,0.07,,0.07017249
Curuai_2003_11,548,4617,Curuai_11_2003_PCN39,0.0175398233386213,0.0269372893243206,0.0323686921803767,0.0363131862032826,45,LabISA-INPE,AMZ,Curuai,-2.08092,-55.6605,2003-11-26,21.2116,596.16,0.07,,0.083533525
Curuai_2003_11,549,4618,Curuai_11_2003_PCN40,0.0160229653229633,0.0250837519715593,0.0305059592738814,0.0374758216905016,45,LabISA-INPE,AMZ,Curuai,-2.07714,-55.6707,2003-11-26,35.1666,922.69,0.07,,0.10978778
Curuai_2003_11,550,4619,Curuai_11_2003_PCN41,0.0190605871205259,0.0308424114740684,0.0378869358195909,0.0485431768107316,45,LabISA-INPE,AMZ,Curuai,-2.06783,-55.654999,2003-11-26,29.2497,717.21,0.07,,0.08249919
Curuai_2003_11,551,4620,Curuai_11_2003_PCN42,0.011764130390971,0.0184255326018557,0.0224607270894472,0.0306095925720228,45,LabISA-INPE,AMZ,Curuai,-2.15028,-55.715,2003-11-26,74.3801,980.85,0.07,,0.24245408
Curuai_2003_11,552,4621,Curuai_11_2003_PCN43,0.0183530817121785,0.0271925987679971,0.0299489275513883,0.025012212197571,45,LabISA-INPE,AMZ,Curuai,-2.26814,-55.226398,2003-11-27,86.2838,158.356,0.09,,0.16216457
Curuai_2003_11,553,4622,Curuai_11_2003_PCN44,0.0183492198343928,0.0272804334796595,0.0303301247107333,0.0239371187021578,45,LabISA-INPE,AMZ,Curuai,-2.27206,-55.263401,2003-11-27,82.5913,184.725,0.09,,0.14588058
Curuai_2003_11,554,4624,Curuai_11_2003_PCN46,0.0132563164984931,0.0178648856853915,0.0178044137172083,0.0075834215315977,45,LabISA-INPE,AMZ,Curuai,-2.29992,-55.3381,2003-11-27,14.8659,32.54,0.35,,0.565505
Curuai_2003_11,555,4625,Curuai_11_2003_PCN47,0.0694405106056025,0.100352885733246,0.12262562025753,0.165667147427473,45,LabISA-INPE,AMZ,Curuai,-2.20558,-55.464401,2003-11-29,34.7107,436.21,0.07,,0.076279424
Curuai_2003_11,556,4626,Curuai_11_2003_PCN48,0.0340185980100974,0.0472328986680886,0.0559835803399844,0.0695556614402191,45,LabISA-INPE,AMZ,Curuai,-2.21661,-55.511398,2003-11-29,31.2034,552.94,0.06,,0.061747544
Curuai_2003_11,557,4627,Curuai_11_2003_PCN49,0.0220431258195407,0.0299872364117422,0.0344517178659359,0.036694933591247,45,LabISA-INPE,AMZ,Curuai,-2.25131,-55.519001,2003-11-29,27.696,593.06,0.07,,0.058301248
Curuai_2003_11,558,4628,Curuai_11_2003_PCN50,0.0186095760485558,0.0255774238349635,0.0299621251080606,0.0315353997724079,45,LabISA-INPE,AMZ,Curuai,-2.23397,-55.601601,2003-11-29,18.7946,253.31,0.08,,0.06831579
Curuai_2003_11,559,4629,Curuai_11_2003_PCN51,0.0107838356924842,0.0129894691817367,0.0141151109974015,0.0090913852445155,45,LabISA-INPE,AMZ,Curuai,-2.23619,-55.680302,2003-11-29,21.4876,59.353,0.2,,0.6151345
