local_year_month,Unnamed: 0,station_id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Curuai_2004_06,108,Curuai_06_2004_PCJ04,0.0038580949863228,0.0056433275377552,0.0053631423568522,0.0048068043879938,0.0024882991255448,0.0022707419444276,0.0021658934316951,0.0019530183865751,0.0019530183865751,41,LabISA-INPE,AMZ,Curuai,-2.22319,-55.788502,2004-06-08,10.851,5.675,1.2,,0.9762173
Curuai_2004_06,109,Curuai_06_2004_PCJ05,0.0092596052686335,0.0158438966157277,0.0157853920111224,0.0172457843819117,0.0120542749013768,0.0117175153495985,0.0115727048054504,0.0107473414651113,0.0107473414651113,41,LabISA-INPE,AMZ,Curuai,-2.13583,-55.786098,2004-06-08,43.044,18.5529,0.5,,0.226924
Curuai_2004_06,110,Curuai_06_2004_PCJ06,0.0057134006358279,0.0103320198082776,0.0110192537343332,0.0103229073214946,0.0042723999608503,0.0036192055682419,0.0031126368047367,0.0022816076645926,0.0022816076645926,41,LabISA-INPE,AMZ,Curuai,-2.16536,-55.7589,2004-06-08,14.033,12.3343,0.5,,0.6381337
Curuai_2004_06,111,Curuai_06_2004_PCJ100,0.0059769249165933,0.0118865842057099,0.0130144048159887,0.0124826140554657,0.0052719736220836,0.0043290585734263,0.0039439852863913,0.0030847982428535,0.0030847982428535,41,LabISA-INPE,AMZ,Curuai,-2.1695,-55.262402,2004-06-16,12.89,11.6067,0.6,,0.56697696
Curuai_2004_06,112,Curuai_06_2004_PCJ101,0.0182261673896398,0.0268161890396873,0.0271430473171013,0.0255003500057743,0.0156433536881116,0.0151292182667985,0.0142426269369827,0.0130389402611507,0.0130389402611507,41,LabISA-INPE,AMZ,Curuai,-2.22983,-55.311401,2004-06-03,19.667,14.6429,0.45,,0.3925575
Curuai_2004_06,113,Curuai_06_2004_PCJ102,0.0142900309393291,0.022500113419708,0.0206741008845574,0.0200892693387625,0.0116050913989948,0.0109042975609254,0.0100896232154799,0.0090143133451532,0.0090143133451532,41,LabISA-INPE,AMZ,Curuai,-2.26236,-55.339199,2004-06-03,27.785,14.0437,0.6,,0.3595507
Curuai_2004_06,114,Curuai_06_2004_PCJ103,0.0131734607273072,0.0204389621878648,0.020565197570312,0.0192222686575374,0.011073492709151,0.0105931451586034,0.0099343689088532,0.0090608604779313,0.0090608604779313,41,LabISA-INPE,AMZ,Curuai,-2.21083,-55.3508,2004-06-05,15.652,14.6388,0.5,,0.38264287
Curuai_2004_06,115,Curuai_06_2004_PCJ104,0.0103787609681934,0.0178400718139443,0.0153631665313208,0.0160025323478146,0.008696105654522,0.0077657415188975,0.0069689143109579,0.0057556401055595,0.0057556401055595,41,LabISA-INPE,AMZ,Curuai,-2.24425,-55.3741,2004-06-05,38.293,15.0771,0.5,,0.4553491
Curuai_2004_06,116,Curuai_06_2004_PCJ105,0.0123812741164575,0.0203407702523562,0.0165117298251616,0.0179451435039501,0.0107121241283525,0.0094810555246701,0.0086921416569292,0.0074316421044797,0.0074316421044797,41,LabISA-INPE,AMZ,Curuai,-2.28575,-55.368099,2004-06-19,45.158,14.8,0.6,,0.3980291
Curuai_2004_06,117,Curuai_06_2004_PCJ106,0.0091796842093085,0.0151412187345232,0.0141426152854094,0.0139635418259248,0.0076558771027298,0.0073701155999425,0.0067966259071531,0.0061211331248381,0.0061211331248381,41,LabISA-INPE,AMZ,Curuai,-2.27208,-55.4021,2004-06-03,25.655,12.8429,0.6,,0.58164895
Curuai_2004_06,118,Curuai_06_2004_PCJ107,0.0125883211688668,0.020840458865505,0.0186286595609623,0.018702430624703,0.0102791088138147,0.0095624493286388,0.0087232691952465,0.0076701143160576,0.0076701143160576,41,LabISA-INPE,AMZ,Curuai,-2.242,-55.438801,2004-06-19,28.2,13.3837,0.65,,0.37839884
Curuai_2004_06,119,Curuai_06_2004_PCJ108,0.0042604023684951,0.0102385955951013,0.0080705141357389,0.0093434655767826,0.0043292333950521,0.003558939239824,0.0031072034747023,0.0022180391236397,0.0022180391236397,41,LabISA-INPE,AMZ,Curuai,-2.26661,-55.4599,2004-06-06,41.463,13.1763,0.8,,0.6209824
Curuai_2004_06,120,Curuai_06_2004_PCJ109,0.0100137645883049,0.0175888245723588,0.0160447948094867,0.0168874493154768,0.0091589587718985,0.0083065958802047,0.0074895167361451,0.0063268340154421,0.0063268340154421,41,LabISA-INPE,AMZ,Curuai,-2.21817,-55.474201,2004-06-03,38.248,16.63,0.5,,0.45090008
Curuai_2004_06,121,Curuai_06_2004_PCJ11,0.0051556586957134,0.0073310357883331,0.0060812952261266,0.0064433431521805,0.0030081516975683,0.0025398172159611,0.0023642509984739,0.0019062712884925,0.0019062712884925,41,LabISA-INPE,AMZ,Curuai,-2.12567,-55.750198,2004-06-09,32.68,10.197,0.8,,0.74644494
